fips,lat,lon
36001,42.6,-73.966667
36003,42.25,-78.02
0,40.783333,-73.966667
36007,42.16,-75.82
36009,42.24,-78.68
36011,42.94, -76.56
36013,42.3, -79.41
36015,42.14, -76.76
36017,42.5, -75.62
36019,44.74, -73.68
36021,42.25, -73.63
36023,42.6, -76.07
36025,42.2, -74.96
36027,41.76, -73.75
36029,42.75, -78.78
36031,44.11, -73.77
36033,44.6, -74.31
36035,43.11,-74.42
36037,43,00,-78.19
36039,42.29,-74.13
36041,43.66,-74.50
36043,43.41,-74.96
36045,43.99,-76.05
36049,43.79,-75.45
36051,42.73,-77.77
36053,42.91,-75.67
36055,43.30,-77.69
36057,42.91,-74.44
36059,40.733333, -73.633333
36063,43.32,-78.79
36065,43.24,-75.44
36067,43.01,-76.2
36069,42.85,-77.29
36071,41.40,-74.31
36073,43.37,-78.23
36075,43.47,-76.2
36077,42.63,-75.04
36079,41.43,-73.75
36083,42.709933,-73.50568
36087,41.15,-74.03
36089,44.5,-75.07
36091,43.11,-73.87
36093,42.81,-74.07
36095,42.59,-74.44
36097,42.39,-76.88
36099,42.79,-76.83
36101,42.26,-77.39
36103,40.94, -72.68
36105,41.79,-74.76
36107,42.17,-76.3
36109,42.451944,-76.473611
36111,41.89,-74.26
36113,43.56,-73.84
36115,43.32,-73.43
36117,43.28,-77.05
36119,41.15, -73.766667
36121,42.833333, -78.083333
36123,42.64,-77.1
